Clase,Orden,Familia,Especie
Aves,Passeriformes,Hirundinidae,"Progne murphyi"
Equisetopsida,Asterales,Asteraceae,"Perezia coerulescens"
Equisetopsida,Cucurbitales,Begoniaceae,"Begonia octopetala"
Equisetopsida,Asparagales,Orchidaceae,"Chloraea pavonii"
Equisetopsida,Asterales,Asteraceae,"Perezia pinnatifida"
Aves,Cathartiformes,Cathartidae,"Vultur gryphus"
Equisetopsida,Brassicales,Caricaceae,"Vasconcellea candicans"
Aves,Pelecaniformes,Threskiornithidae,"Theristicus melanopis"
Aves,Passeriformes,Thraupidae,"Xenospingus concolor"
Equisetopsida,Fabales,Fabaceae,"Tara spinosa"
,,,
