Clase,Orden,Familia,Especie
Equisetopsida,Oxalidales,Oxalidaceae,"Oxalis lomana"
Equisetopsida,Solanales,Solanaceae,"Solanum mochiquense"
Equisetopsida,Solanales,Solanaceae,"Exodeconus prostratus"
Equisetopsida,Solanales,Solanaceae,"Nolana gayana"
Equisetopsida,Solanales,Solanaceae,"Nolana humifusa"
Equisetopsida,Poales,Poaceae,"Bromus striatus"
Aves,Passeriformes,Furnariidae,"Leptasthenura pileata"
Equisetopsida,Caryophyllales,Caryophyllaceae,"Drymaria paposana var. weberbaueri"
Equisetopsida,Malvales,Malvaceae,"Palaua rhombifolia"
Equisetopsida,Caryophyllales,Cactaceae,"Mila caespitosa"
Equisetopsida,Caryophyllales,Montiaceae,"Calandrinia alba"
Equisetopsida,Solanales,Solanaceae,"Solanum medians"
Equisetopsida,Asparagales,Orchidaceae,"Chloraea pavonii"
Equisetopsida,Asterales,Asteraceae,"Ophryosporus pubescens"
Equisetopsida,Boraginales,Heliotropiaceae,"Heliotropium adenogynum"
Aves,Passeriformes,Thraupidae,"Incaspiza pulchra"
Equisetopsida,Asterales,Asteraceae,"Baccharis spartea"
Equisetopsida,Brassicales,Brassicaceae,"Lepidium cyclocarpum"
Equisetopsida,Boraginales,Heliotropiaceae,"Heliotropium lanceolatum"
Mammalia,Rodentia,Cricetidae,"Phyllotis amicus"
Aves,Passeriformes,Furnariidae,"Geositta peruviana"
Aves,Passeriformes,Furnariidae,"Geositta crassirostris"
Equisetopsida,Asparagales,Amaryllidaceae,"Stenomesson flavum"
Equisetopsida,Asterales,Asteraceae,"Ageratina vallincola"
Aves,Passeriformes,Thraupidae,"Sicalis raimondii"
Equisetopsida,Solanales,Solanaceae,"Solanum immite"
Equisetopsida,Rosales,Urticaceae,"Pilea lamioides"
Equisetopsida,Cornales,Loasaceae,"Mentzelia scabra subsp. grandiflora"
Equisetopsida,Caryophyllales,Cactaceae,"Borzicactus acanthurus"
Equisetopsida,Asterales,Asteraceae,"Senecio gracilipes"
Equisetopsida,Asterales,Asteraceae,"Philoglossa peruviana"
Aves,Passeriformes,Furnariidae,"Pseudasthenes cactorum"
Equisetopsida,Piperales,Piperaceae,"Peperomia crystallina"
Equisetopsida,Solanales,Solanaceae,"Jaltomata umbellata"
Equisetopsida,Lamiales,Plantaginaceae,"Plantago limensis"
Equisetopsida,Malvales,Malvaceae,"Cristaria multifida"
Equisetopsida,Asterales,Asteraceae,"Galinsoga caligensis"
Equisetopsida,Asterales,Asteraceae,"Lomanthus abadianus"
Equisetopsida,Caryophyllales,Caryophyllaceae,"Drymaria divaricata"
Equisetopsida,Asparagales,Amaryllidaceae,"Ismene amancaes"
Equisetopsida,Malvales,Malvaceae,"Palaua malvifolia"
Equisetopsida,Fabales,Fabaceae,"Senna birostris"
Equisetopsida,Solanales,Solanaceae,"Nicotiana paniculata"
Equisetopsida,Dipsacales,Caprifoliaceae,"Valeriana pinnatifida"
Equisetopsida,Asterales,Asteraceae,"Stevia melissifolia"
,,,
