Clase,Orden,Familia,Especie
Aves,Suliformes,Sulidae,"Sula granti"
Aves,Cathartiformes,Cathartidae,"Vultur gryphus"
Aves,Procellariiformes,Diomedeidae,"Thalassarche chrysostoma"
Aves,Pelecaniformes,Threskiornithidae,"Theristicus melanopis"
Aves,Suliformes,Sulidae,"Sula variegata"
Reptilia,Testudines,Cheloniidae,"Chelonia mydas"
Reptilia,Testudines,Dermochelyidae,"Dermochelys coriacea"
Aves,Procellariiformes,Hydrobatidae,"Hydrobates markhami"
Reptilia,Sauria,Tropiduridae,"Microlophus quadrivittatus"
Aves,Procellariiformes,Procellariidae,"Ardenna creatopus"
Reptilia,Testudines,Cheloniidae,"Lepidochelys olivacea"
Aves,Procellariiformes,Procellariidae,"Pelecanoides garnotii"
Aves,Charadriiformes,Laridae,"Larosterna inca"
Mammalia,Carnivora,Otariidae,"Otaria flavescens"
Aves,Procellariiformes,Diomedeidae,"Phoebastria irrorata"
Aves,Procellariiformes,Procellariidae,"Procellaria aequinoctialis"
Aves,Passeriformes,Hirundinidae,"Progne murphyi"
Aves,Charadriiformes,Laridae,"Sterna hirundinacea"
Aves,Sphenisciformes,Spheniscidae,"Spheniscus humboldti"
Aves,Suliformes,Phalacrocoracidae,"Phalacrocorax gaimardi"
Mammalia,Carnivora,Otariidae,"Arctocephalus australis"
Mammalia,Carnivora,Mustelidae,"Lontra felina"
Aves,Pelecaniformes,Pelecanidae,"Pelecanus thagus"
Aves,Phoenicopteriformes,Phoenicopteridae,"Phoenicoparrus jamesi"
,,,
