Clase,Orden,Familia,Especie
Aves,Passeriformes,Passerellidae,"Zonotrichia capensis"
Aves,Suliformes,Sulidae,"Sula leucogaster"
Aves,Suliformes,Sulidae,"Sula granti"
Mammalia,Cetartiodactyla,Delphinidae,"Tursiops truncatus"
Aves,Suliformes,Sulidae,"Sula dactylatra"
Aves,Cathartiformes,Cathartidae,"Vultur gryphus"
Aves,Caprimulgiformes,Caprimulgidae,"Systellura longirostris"
Aves,Procellariiformes,Diomedeidae,"Thalassarche chrysostoma"
Aves,Charadriiformes,Scolopacidae,"Tringa incana"
Aves,Charadriiformes,Laridae,"Xema sabini"
Aves,Charadriiformes,Laridae,"Thalasseus elegans"
Aves,Charadriiformes,Laridae,"Thalasseus maximus"
Elasmobranchii,Rhinopristiformes,Rhinobatidae,"Zapteryx exasperata"
Actinopterygii,Gobiesociformes,Gobiesocidae,"Tomicodon chilensis"
Aves,Suliformes,Sulidae,"Sula nebouxii"
Aves,Columbiformes,Columbidae,"Zenaida meloda"
Aves,Pelecaniformes,Threskiornithidae,"Theristicus melanopis"
Elasmobranchii,Rajiformes,Arhynchobatidae,"Sympterygia brevicaudata"
Aves,Passeriformes,Tyrannidae,"Tyrannus tyrannus"
Aves,Suliformes,Sulidae,"Sula variegata"
Actinopterygii,'-,Haemulidae,"Microlepidotus brevipinnis"
Actinopterygii,Perciformes,Sciaenidae,"Sciaena deliciosa"
Mammalia,Carnivora,Phocidae,"Mirounga leonina"
Aves,Accipitriformes,Accipitridae,"Geranoaetus polyosoma"
Reptilia,Testudines,Cheloniidae,"Chelonia mydas"
Aves,Pelecaniformes,Ardeidae,"Egretta caerulea"
Reptilia,Sauria,Tropiduridae,"Microlophus theresiae"
Actinopterygii,Perciformes,Pomacentridae,"Stegastes acapulcoensis"
Aves,Charadriiformes,Charadriidae,"Charadrius wilsonia"
Actinopterygii,Perciformes,Pinguipedidae,"Pinguipes chilensis"
Actinopterygii,Perciformes,Scorpaenidae,"Scorpaena histrio"
Actinopterygii,'-,Haemulidae,"Anisotremus scapularis"
Aves,Charadriiformes,Laridae,"Larus dominicanus"
Aves,Procellariiformes,Oceanitidae,"Oceanites oceanicus"
Reptilia,Testudines,Dermochelyidae,"Dermochelys coriacea"
Aves,Gruiformes,Rallidae,"Gallinula galeata"
Actinopterygii,Blenniiformes,Blenniidae,"Scartichthys gigas"
Mammalia,Cetartiodactyla,Delphinidae,"Delphinus delphis"
Actinopterygii,Perciformes,Sciaenidae,"Cynoscion analis"
Aves,Charadriiformes,Laridae,"Leucophaeus pipixcan"
Aves,Charadriiformes,Laridae,"Creagrus furcatus"
Actinopterygii,Tetraodontiformes,Tetraodontidae,"Sphoeroides annulatus"
Aves,Pelecaniformes,Ardeidae,"Nyctanassa violacea"
Aves,Pelecaniformes,Ardeidae,"Ardea alba"
Aves,Cathartiformes,Cathartidae,"Coragyps atratus"
Aves,Procellariiformes,Procellariidae,"Fulmarus glacialoides"
Aves,Strigiformes,Strigidae,"Athene cunicularia"
Mammalia,Cetartiodactyla,Delphinidae,"Orcinus orca"
Aves,Procellariiformes,Hydrobatidae,"Hydrobates markhami"
Actinopterygii,Perciformes,Sciaenidae,"Menticirrhus ophicephalus"
Aves,Columbiformes,Columbidae,"Columba livia"
Aves,Suliformes,Phalacrocoracidae,"Phalacrocorax bougainvillii"
Aves,Falconiformes,Falconidae,"Phalcoboenus megalopterus"
