Clase,Orden,Familia,Especie
Equisetopsida,Fabales,Fabaceae,"Neltuma chilensis"
Equisetopsida,Lamiales,Acanthaceae,"Avicennia germinans"
Equisetopsida,Lamiales,Martyniaceae,"Proboscidea althaeifolia"
Aves,Charadriiformes,Laridae,"Sterna hirundinacea"
Equisetopsida,Malpighiales,Rhizophoraceae,"Rhizophora mangle"
Aves,Accipitriformes,Accipitridae,"Buteogallus anthracinus"
Equisetopsida,Myrtales,Combretaceae,"Laguncularia racemosa"
Aves,Psittaciformes,Psittacidae,"Brotogeris pyrrhoptera"
Equisetopsida,Brassicales,Bataceae,"Batis maritima"
Aves,Passeriformes,Cotingidae,"Phytotoma raimondii"
Aves,Charadriiformes,Laridae,"Sternula lorata"
,,,
