Clase,Orden,Familia,Especie,endemica,amenazada
Equisetopsida,Poales,Cyperaceae,Cyperus compressus,FALSE,FALSE
Aves,Anseriformes,Anatidae,Anas bahamensis,FALSE,FALSE
Equisetopsida,Fabales,Fabaceae,Neltuma chilensis,FALSE,TRUE
Aves,Ciconiiformes,Ciconiidae,Mycteria americana,FALSE,FALSE
Actinopterygii,Perciformes,Serranidae,Paralabrax humeralis,FALSE,FALSE
Actinopterygii,Perciformes,Serranidae,Mycteroperca xenarcha,FALSE,FALSE
Aves,Passeriformes,Icteridae,Dives warczewiczi,FALSE,FALSE
Equisetopsida,Poales,Poaceae,Distichlis spicata,FALSE,FALSE
Actinopterygii,Siluriformes,Heptapteridae,Pimelodella elongata,FALSE,FALSE
Aves,Columbiformes,Columbidae,Patagioenas plumbea,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Myiarchus phaeocephalus,FALSE,FALSE
Equisetopsida,Rosales,Rhamnaceae,Scutia spicata,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Piezorina cinerea,TRUE,FALSE
Actinopterygii,Perciformes,Serranidae,Diplectrum pacificum,FALSE,FALSE
Equisetopsida,Lamiales,Plantaginaceae,Scoparia dulcis,FALSE,FALSE
Equisetopsida,Lamiales,Acanthaceae,Avicennia germinans,FALSE,TRUE
Actinopterygii,Perciformes,Gobiidae,Awaous banana,FALSE,FALSE
Aves,Anseriformes,Anatidae,Spatula cyanoptera,FALSE,FALSE
Equisetopsida,Lamiales,Martyniaceae,Proboscidea althaeifolia,FALSE,TRUE
Actinopterygii,'-,Haemulidae,Genyatremus pacifici,FALSE,FALSE
Aves,Columbiformes,Columbidae,Columba livia,FALSE,FALSE
Aves,Accipitriformes,Pandionidae,Pandion haliaetus,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Sporophila peruviana,FALSE,FALSE
Aves,Columbiformes,Columbidae,Columbina cruziana,FALSE,FALSE
Mammalia,Carnivora,Procyonidae,Procyon cancrivorus,FALSE,FALSE
Actinopterygii,Perciformes,Sciaenidae,Menticirrhus nasus,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Euscarthmus fulviceps,FALSE,FALSE
Aves,Pelecaniformes,Ardeidae,Nycticorax nycticorax,FALSE,FALSE
Aves,Passeriformes,Hirundinidae,Progne chalybea,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Pyrocephalus rubinus,FALSE,FALSE
Aves,Piciformes,Capitonidae,Capito auratus,FALSE,FALSE
Mammalia,Carnivora,Mephitidae,Conepatus chinga,FALSE,FALSE
Actinopterygii,Anguilliformes,Ophichthidae,Myrophis vafer,FALSE,FALSE
Aves,Passeriformes,Troglodytidae,Cantorchilus superciliaris,FALSE,FALSE
Aves,Piciformes,Picidae,Colaptes rubiginosus,FALSE,FALSE
Aves,Accipitriformes,Accipitridae,Gampsonyx swainsonii,FALSE,FALSE
Aves,Pelecaniformes,Pelecanidae,Pelecanus occidentalis,FALSE,FALSE
Aves,Passeriformes,Furnariidae,Lepidocolaptes souleyetii,FALSE,FALSE
Aves,Charadriiformes,Haematopodidae,Haematopus palliatus,FALSE,FALSE
Actinopterygii,'-,Haemulidae,Rhencus panamensis,FALSE,FALSE
Aves,Passeriformes,Troglodytidae,Campylorhynchus fasciatus,FALSE,FALSE
Equisetopsida,Myrtales,Combretaceae,Conocarpus erectus,FALSE,FALSE
Aves,Charadriiformes,Scolopacidae,Limosa fedoa,FALSE,FALSE
Aves,Passeriformes,Icteridae,Molothrus bonariensis,FALSE,FALSE
Actinopterygii,'-,Haemulidae,Haemulopsis leuciscus,FALSE,FALSE
Actinopterygii,'-,Centropomidae,Centropomus nigrescens,FALSE,FALSE
Actinopterygii,'-,Centropomidae,Centropomus robalito,FALSE,FALSE
Actinopterygii,'-,Centropomidae,Centropomus unionensis,FALSE,FALSE
Aves,Charadriiformes,Scolopacidae,Limnodromus griseus,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Contopus cinereus,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Camptostoma obsoletum,FALSE,FALSE
Actinopterygii,'-,Haemulidae,Haemulopsis nitida,FALSE,FALSE
Aves,Accipitriformes,Accipitridae,Spizaetus ornatus,FALSE,FALSE
Actinopterygii,Pleuronectiformes,Paralichthyidae,Citharichthys gilberti,FALSE,FALSE
Aves,Charadriiformes,Laridae,Sterna hirundinacea,FALSE,TRUE
Actinopterygii,Clupeiformes,Clupeidae,Lile stolifera,FALSE,FALSE
Equisetopsida,Malpighiales,Rhizophoraceae,Rhizophora harrisonii,FALSE,FALSE
Equisetopsida,Malpighiales,Rhizophoraceae,Rhizophora mangle,FALSE,TRUE
Aves,Piciformes,Picidae,Campephilus gayaquilensis,FALSE,FALSE
Equisetopsida,Poales,Poaceae,Leptochloa anisopoda,FALSE,FALSE
Aves,Accipitriformes,Accipitridae,Spizaetus tyrannus,FALSE,FALSE
Equisetopsida,Poales,Poaceae,Leptochloa mucronata,FALSE,FALSE
Equisetopsida,Poales,Poaceae,Panicum molle,FALSE,FALSE
Aves,Cathartiformes,Cathartidae,Coragyps atratus,FALSE,FALSE
Actinopterygii,Perciformes,Labridae,Halichoeres dispilus,FALSE,FALSE
Actinopterygii,Acanthuriformes,Chaetodontidae,Chaetodon humeralis,FALSE,FALSE
Equisetopsida,Lamiales,Cordiaceae,Cordia lutea,FALSE,FALSE
Actinopterygii,Mugiliformes,Mugilidae,Mugil cephalus,FALSE,FALSE
Aves,Passeriformes,Passerellidae,Rhynchospiza stolzmanni,FALSE,FALSE
Aves,Gruiformes,Rallidae,Porzana carolina,FALSE,FALSE
Aves,Gruiformes,Rallidae,Porphyrio martinica,FALSE,FALSE
Actinopterygii,Cichliformes,Cichlidae,Cichlasoma festae,FALSE,FALSE
Aves,Charadriiformes,Charadriidae,Charadrius collaris,FALSE,FALSE
Aves,Passeriformes,Icteridae,Leistes bellicosus,FALSE,FALSE
Aves,Charadriiformes,Charadriidae,Charadrius semipalmatus,FALSE,FALSE
Aves,Caprimulgiformes,Caprimulgidae,Nyctidromus albicollis,FALSE,FALSE
Aves,Nyctibiiformes,Nyctibiidae,Nyctibius griseus,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Poospiza hispaniolensis,FALSE,FALSE
Equisetopsida,Asterales,Asteraceae,Cosmos caudatus,FALSE,FALSE
Aves,Charadriiformes,Charadriidae,Charadrius wilsonia,FALSE,FALSE
Actinopterygii,Mugiliformes,Mugilidae,Mugil curema,FALSE,FALSE
Actinopterygii,Pleuronectiformes,Achiridae,Achirus scutum,FALSE,FALSE
Actinopterygii,'-,Haemulidae,Pomadasys schyrii,FALSE,FALSE
Actinopterygii,Acanthuriformes,Pomacanthidae,Pomacanthus zonipectus,FALSE,FALSE
Actinopterygii,Pleuronectiformes,Achiridae,Achirus klunzingeri,FALSE,FALSE
Aves,Charadriiformes,Scolopacidae,Calidris minutilla,FALSE,FALSE
Actinopterygii,Pleuronectiformes,Achiridae,Achirus fluviatilis,FALSE,FALSE
Actinopterygii,Characiformes,Lebiasinidae,Lebiasina bimaculata,FALSE,FALSE
