Clase,Orden,Familia,Especie
Equisetopsida,Solanales,Solanaceae,"Solanum amblophyllum"
Equisetopsida,Lamiales,Calceolariaceae,"Calceolaria cordiformis"
Mammalia,Rodentia,Sciuridae,"Hadrosciurus pyrrhinus"
Equisetopsida,Ranunculales,Berberidaceae,"Berberis beauverdiana"
Aves,Passeriformes,Rhinocryptidae,"Scytalopus unicolor"
Equisetopsida,Lamiales,Calceolariaceae,"Calceolaria rhododendroides"
Mammalia,Cingulata,Dasypodidae,"Dasypus pilosus"
Equisetopsida,Asparagales,Orchidaceae,"Epidendrum gastrochilum"
Equisetopsida,Poales,Bromeliaceae,"Guzmania xipholepis"
Equisetopsida,Myrtales,Melastomataceae,"Brachyotum radula"
Equisetopsida,Myrtales,Melastomataceae,"Brachyotum tyrianthinum"
Equisetopsida,Laurales,Lauraceae,"Nectandra utilis"
Equisetopsida,Asterales,Asteraceae,"Achyrocline peruviana"
Equisetopsida,Apiales,Araliaceae,"Oreopanax candamoanus"
Equisetopsida,Cucurbitales,Begoniaceae,"Begonia monadelpha"
Equisetopsida,Asterales,Asteraceae,"Monactis flaverioides"
Equisetopsida,Poales,Poaceae,"Festuca huamachucensis"
Equisetopsida,Myrtales,Onagraceae,"Fuchsia mathewsii"
Equisetopsida,Myrtales,Melastomataceae,"Axinaea nitida"
Equisetopsida,Solanales,Solanaceae,"Deprea lutea"
Equisetopsida,Ericales,Ericaceae,"Vaccinium didymanthum"
Equisetopsida,Ericales,Symplocaceae,"Symplocos sandemanii"
,,,
