Clase,Orden,Familia,Especie
Equisetopsida,Fabales,Fabaceae,"Lupinus weberbaueri"
Equisetopsida,Asterales,Asteraceae,"Cronquistianthus lavandulifolius"
Equisetopsida,Lamiales,Calceolariaceae,"Calceolaria bicrenata"
Equisetopsida,Lamiales,Lamiaceae,"Clinopodium weberbaueri"
Equisetopsida,Caryophyllales,Caryophyllaceae,"Plettkea cryptantha"
Equisetopsida,Lamiales,Lamiaceae,"Clinopodium speciosum"
Equisetopsida,Lamiales,Calceolariaceae,"Calceolaria linearis"
Aves,Passeriformes,Furnariidae,"Leptasthenura pileata"
Equisetopsida,Lamiales,Lamiaceae,"Clinopodium sericifolium"
Aves,Passeriformes,Furnariidae,"Geocerthia serrana"
Equisetopsida,Asterales,Asteraceae,"Proustia berberidifolia"
Equisetopsida,Saxifragales,Crassulaceae,"Sedum reniforme"
Equisetopsida,Lamiales,Lamiaceae,"Salvia grisea"
Aves,Passeriformes,Furnariidae,"Cinclodes palliatus"
Aves,Apodiformes,Trochilidae,"Polyonymus caroli"
Equisetopsida,Lamiales,Calceolariaceae,"Calceolaria weberbaueriana"
Aves,Passeriformes,Thraupidae,"Incaspiza personata"
Equisetopsida,Solanales,Solanaceae,"Salpichroa dependens"
Equisetopsida,Poales,Poaceae,"Eragrostis pilgeri"
Aves,Apodiformes,Trochilidae,"Metallura phoebe"
Equisetopsida,Lamiales,Calceolariaceae,"Calceolaria cajabambae"
Equisetopsida,Cornales,Loasaceae,"Nasa ranunculifolia"
,,,
