Clase,Orden,Familia,Especie
Aves,Passeriformes,Motacillidae,"Anthus correndera"
Mammalia,Carnivora,Canidae,"Lycalopex (Pseudalopex) culpaeus"
Equisetopsida,Lamiales,Plantaginaceae,"Plantago tubulosa"
Mammalia,Carnivora,Felidae,"Leopardus jacobitus"
Equisetopsida,Lamiales,Plantaginaceae,"Plantago rigida"
Equisetopsida,Poales,Poaceae,"Aciachne pulvinata"
Aves,Strigiformes,Strigidae,"Athene cunicularia"
Equisetopsida,Poales,Poaceae,"Poa spicigera"
Aves,Falconiformes,Falconidae,"Phalcoboenus megalopterus"
Aves,Anseriformes,Anatidae,"Oxyura jamaicensis"
Equisetopsida,Malvales,Malvaceae,"Acaulimalva engleriana"
Equisetopsida,Geraniales,Geraniaceae,"Geranium sessiliflorum"
Aves,Pelecaniformes,Threskiornithidae,"Plegadis ridgwayi"
Reptilia,Sauria,Liolaemidae,"Liolaemus alticolor"
Aves,Passeriformes,Tyrannidae,"Agriornis montanus"
Equisetopsida,Gentianales,Gentianaceae,"Gentianella carneorubra"
Aves,Pelecaniformes,Ardeidae,"Ardea alba"
Aves,Accipitriformes,Accipitridae,"Geranoaetus polyosoma"
Aves,Passeriformes,Thraupidae,"Sicalis uropygialis"
Equisetopsida,Poales,Poaceae,"Poa aequigluma"
Equisetopsida,Asterales,Asteraceae,"Cuatrecasasiella isernii"
Equisetopsida,Asparagales,Orchidaceae,"Myrosmodes paludosa"
Equisetopsida,Asterales,Asteraceae,"Senecio breviscapus"
Aves,Anseriformes,Anatidae,"Spatula puna"
Aves,Gruiformes,Rallidae,"Gallinula galeata"
Aves,Columbiformes,Columbidae,"Columba livia"
Aves,Anseriformes,Anatidae,"Lophonetta specularioides"
Aves,Strigiformes,Strigidae,"Glaucidium brasilianum"
Equisetopsida,Lamiales,Plantaginaceae,"Plantago lanceolata"
Aves,Pelecaniformes,Ardeidae,"Bubulcus ibis"
Equisetopsida,Ranunculales,Ranunculaceae,"Ranunculus peruvianus"
Equisetopsida,Asterales,Campanulaceae,"Lobelia oligophylla"
