Clase,Orden,Familia,Especie
Aves,Apodiformes,Trochilidae,"Colibri coruscans"
Aves,Apodiformes,Trochilidae,"Lesbia victoriae"
Aves,Apodiformes,Trochilidae,"Lesbia nuna"
Aves,Passeriformes,Motacillidae,"Anthus bogotensis"
Aves,Columbiformes,Columbidae,"Leptotila verreauxi"
Aves,Passeriformes,Motacillidae,"Anthus correndera"
Equisetopsida,Solanales,Solanaceae,"Solanum acaule"
Aves,Passeriformes,Motacillidae,"Anthus furcatus"
Aves,Passeriformes,Fringillidae,"Euphonia laniirostris"
Aves,Passeriformes,Troglodytidae,"Cistothorus platensis"
Aves,Accipitriformes,Accipitridae,"Circus cinereus"
Equisetopsida,Poales,Poaceae,"Piptochaetium featherstonei"
Equisetopsida,Poales,Poaceae,"Cinnagrostis vicunarum"
Mammalia,Cetartiodactyla,Cervidae,"Hippocamelus antisensis"
Aves,Passeriformes,Cinclidae,"Cinclus leucocephalus"
Equisetopsida,Poales,Cyperaceae,"Carex ecuadorica"
Aves,Passeriformes,Furnariidae,"Leptasthenura pileata"
Aves,Passeriformes,Furnariidae,"Leptasthenura andicola"
Aves,Passeriformes,Furnariidae,"Cinclodes palliatus"
Aves,Passeriformes,Furnariidae,"Cinclodes atacamensis"
Aves,Suliformes,Phalacrocoracidae,"Phalacrocorax brasilianus"
Aves,Pelecaniformes,Threskiornithidae,"Plegadis ridgwayi"
Aves,Passeriformes,Tyrannidae,"Agriornis montanus"
Aves,Passeriformes,Furnariidae,"Cinclodes albiventris"
Aves,Columbiformes,Columbidae,"Columba livia"
Equisetopsida,Asterales,Asteraceae,"Chuquiraga spinosa"
Equisetopsida,Brassicales,Brassicaceae,"Lepidium meyenii"
Aves,Apodiformes,Trochilidae,"Metallura phoebe"
Aves,Columbiformes,Columbidae,"Columbina cruziana"
Aves,Charadriiformes,Scolopacidae,"Phalaropus tricolor"
Aves,Columbiformes,Columbidae,"Columbina minuta"
Aves,Falconiformes,Falconidae,"Falco femoralis"
Aves,Passeriformes,Cardinalidae,"Piranga flava"
Aves,Falconiformes,Falconidae,"Phalcoboenus megalopterus"
Aves,Charadriiformes,Laridae,"Chroicocephalus serranus"
Aves,Falconiformes,Falconidae,"Falco peregrinus"
Aves,Apodiformes,Trochilidae,"Myrtis fanny"
Aves,Passeriformes,Tyrannidae,"Myiotheretes striaticollis"
Aves,Columbiformes,Columbidae,"Metriopelia aymara"
Equisetopsida,Myrtales,Onagraceae,"Oenothera multicaulis"
Mammalia,Carnivora,Felidae,"Leopardus jacobitus"
Mammalia,Carnivora,Felidae,"Leopardus garleppi"
Aves,Falconiformes,Falconidae,"Falco sparverius"
Aves,Anseriformes,Anatidae,"Anas georgica"
Aves,Anseriformes,Anatidae,"Anas flavirostris"
Equisetopsida,Poales,Juncaceae,"Luzula racemosa"
Aves,Apodiformes,Trochilidae,"Patagona gigas"
Aves,Anseriformes,Anatidae,"Anas bahamensis"
Mammalia,Carnivora,Canidae,"Lycalopex (Pseudalopex) culpaeus"
Aves,Passeriformes,Tyrannidae,"Agriornis albicauda"
Aves,Passeriformes,Tyrannidae,"Anairetes nigrocristatus"
Aves,Passeriformes,Tyrannidae,"Anairetes flavirostris"
Aves,Columbiformes,Columbidae,"Metriopelia ceciliae"
Mammalia,Carnivora,Mephitidae,"Conepatus chinga"
Aves,Pelecaniformes,Ardeidae,"Ardea alba"
Aves,Passeriformes,Thraupidae,"Conirostrum binghami"
Aves,Passeriformes,Thraupidae,"Rauenia bonariensis"
Aves,Pelecaniformes,Ardeidae,"Ardea cocoi"
Aves,Passeriformes,Thraupidae,"Conirostrum cinereum"
Aves,Charadriiformes,Scolopacidae,"Arenaria interpres"
Equisetopsida,Caryophyllales,Caryophyllaceae,"Arenaria serpens"
Aves,Charadriiformes,Charadriidae,"Phegornis mitchellii"
Equisetopsida,Poales,Poaceae,"Nassella brachyphylla"
Aves,Passeriformes,Thraupidae,"Sicalis uropygialis"
Aves,Passeriformes,Thraupidae,"Sicalis raimondii"
Aves,Anseriformes,Anatidae,"Merganetta armata"
Aves,Gruiformes,Rallidae,"Laterallus jamaicensis"
Aves,Passeriformes,Thraupidae,"Sicalis olivascens"
Aves,Passeriformes,Thraupidae,"Sicalis luteola"
Aves,Passeriformes,Thraupidae,"Sicalis lutea"
Aves,Columbiformes,Columbidae,"Patagioenas maculosa"
Equisetopsida,Poales,Poaceae,"Festuca dolichophylla"
Equisetopsida,Poales,Poaceae,"Festuca huamachucensis"
Aves,Passeriformes,Cardinalidae,"Pheucticus chrysogaster"
Equisetopsida,Poales,Poaceae,"Festuca peruviana"
Amphibia,Anura,Bufonidae,"Rhinella spinulosa"
Equisetopsida,Poales,Poaceae,"Festuca tenuiculmis"
Aves,Passeriformes,Tyrannidae,"Camptostoma obsoletum"
Aves,Columbiformes,Columbidae,"Metriopelia melanoptera"
Aves,Charadriiformes,Scolopacidae,"Actitis macularius"
Aves,Pelecaniformes,Ardeidae,"Bubulcus ibis"
