Clase,Orden,Familia,Especie
Equisetopsida,Buxales,Buxaceae,"Styloceras laurifolium"
Mammalia,Carnivora,Ursidae,"Tremarctos ornatus"
Equisetopsida,Asparagales,Orchidaceae,"Sudamerlycaste cinnabarina"
Aves,Passeriformes,Furnariidae,"Thripophaga berlepschi"
Equisetopsida,Oxalidales,Cunoniaceae,"Weinmannia piurensis"
Equisetopsida,Buxales,Buxaceae,"Styloceras columnare"
Equisetopsida,Myrtales,Myrtaceae,"Myrcia splendens"
Mammalia,Primates,Cebidae,"Aotus miconax"
Mammalia,Primates,Atelidae,"Lagothrix flavicauda"
Equisetopsida,Asparagales,Orchidaceae,"Masdevallia icterina"
Equisetopsida,Escalloniales,Escalloniaceae,"Escallonia pendula"
Equisetopsida,Asparagales,Orchidaceae,"Masdevallia cranion"
Aves,Galliformes,Cracidae,"Aburria aburri"
Equisetopsida,Asparagales,Orchidaceae,"Oncidium vulcanicum"
Equisetopsida,Asparagales,Orchidaceae,"Gongora rufescens"
Equisetopsida,Solanales,Solanaceae,"Deprea nieva"
Mammalia,Primates,Atelidae,"Ateles belzebuth"
Aves,Accipitriformes,Accipitridae,"Harpia harpyja"
Equisetopsida,Sapindales,Meliaceae,"Cedrela montana"
Reptilia,Testudines,Podocnemididae,"Podocnemis expansa"
Equisetopsida,Podocarpales,Podocarpaceae,"Podocarpus oleifolius"
Aves,Psittaciformes,Psittacidae,"Leptosittaca branickii"
,,,
