Clase,Orden,Familia,Especie,endemica,amenazada
Equisetopsida,Asparagales,Orchidaceae,Xylobium varicosum,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Tangara nigroviridis,FALSE,FALSE
Aves,Caprimulgiformes,Caprimulgidae,Uropsalis segmentata,FALSE,FALSE
Aves,Passeriformes,Furnariidae,Synallaxis unirufa,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Stilpnia cyanicollis,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Tangara xanthocephala,FALSE,FALSE
Equisetopsida,Buxales,Buxaceae,Styloceras laurifolium,FALSE,TRUE
Aves,Passeriformes,Thraupidae,Tangara parzudakii,FALSE,FALSE
Aves,Passeriformes,Furnariidae,Xiphorhynchus triangularis,FALSE,FALSE
Mammalia,Carnivora,Ursidae,Tremarctos ornatus,FALSE,TRUE
Aves,Passeriformes,Furnariidae,Xiphocolaptes promeropirhynchus,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Stilpnia viridicollis,FALSE,FALSE
Equisetopsida,Rosales,Cannabaceae,Trema micranthum,FALSE,FALSE
Reptilia,Serpentes,Colubridae,Tantilla melanocephala,FALSE,FALSE
Equisetopsida,Asparagales,Orchidaceae,Sudamerlycaste cinnabarina,FALSE,TRUE
Aves,Passeriformes,Furnariidae,Syndactyla subalaris,FALSE,FALSE
Aves,Passeriformes,Furnariidae,Synallaxis azarae,FALSE,FALSE
Aves,Passeriformes,Furnariidae,Xenops rutilans,FALSE,FALSE
Aves,Passeriformes,Furnariidae,Thripophaga berlepschi,TRUE,TRUE
Reptilia,Serpentes,Dipsadidae,Taeniophallus brevirostris,FALSE,FALSE
Aves,Passeriformes,Troglodytidae,Troglodytes aedon,FALSE,FALSE
Equisetopsida,Oxalidales,Cunoniaceae,Weinmannia piurensis,TRUE,TRUE
Equisetopsida,Buxales,Buxaceae,Styloceras columnare,FALSE,TRUE
Reptilia,Serpentes,Dipsadidae,Xenodon rabdocephalus,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Zimmerius viridiflavus,TRUE,FALSE
Aves,Passeriformes,Thamnophilidae,Thamnophilus caerulescens,FALSE,FALSE
Equisetopsida,Dipsacales,Viburnaceae,Viburnum obtectum,FALSE,FALSE
Equisetopsida,Asparagales,Orchidaceae,Xylobium leontoglossum,FALSE,FALSE
Aves,Columbiformes,Columbidae,Zentrygon frenata,FALSE,FALSE
Aves,Passeriformes,Thamnophilidae,Thamnophilus ruficapillus,FALSE,FALSE
Aves,Passeriformes,Thamnophilidae,Thamnophilus unicolor,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Contopus fumigatus,FALSE,FALSE
Equisetopsida,Ericales,Sapotaceae,Chrysophyllum venezuelanense,FALSE,FALSE
Equisetopsida,Rosales,Urticaceae,Cecropia montana,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Chlorornis riefferii,FALSE,FALSE
Equisetopsida,Asparagales,Orchidaceae,Pleurothallis scurrula,TRUE,FALSE
Aves,Passeriformes,Troglodytidae,Henicorhina leucophrys,FALSE,FALSE
Equisetopsida,Chloranthales,Chloranthaceae,Hedyosmum cuatrecazanum,FALSE,FALSE
Aves,Cathartiformes,Cathartidae,Coragyps atratus,FALSE,FALSE
Equisetopsida,Chloranthales,Chloranthaceae,Hedyosmum goudotianum,FALSE,FALSE
Equisetopsida,Gentianales,Rubiaceae,Cinchona pubescens,FALSE,FALSE
Equisetopsida,Fabales,Fabaceae,Inga extra-nodis,FALSE,FALSE
Equisetopsida,Fabales,Fabaceae,Inga feuillei,FALSE,FALSE
Equisetopsida,Asparagales,Orchidaceae,Maxillaria graminifolia,FALSE,FALSE
Equisetopsida,Fabales,Fabaceae,Lupinus hornemannii,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Leptopogon superciliaris,FALSE,FALSE
Aves,Passeriformes,Vireonidae,Cyclarhis gujanensis,FALSE,FALSE
Equisetopsida,Gentianales,Rubiaceae,Psychotria remota,FALSE,FALSE
Equisetopsida,Cyatheales,Cyatheaceae,Cyathea ruiziana,TRUE,FALSE
Aves,Tinamiformes,Tinamidae,Crypturellus obsoletus,FALSE,FALSE
Equisetopsida,Myrtales,Melastomataceae,Huberia weberbaueriana,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Elaenia pallatangae,FALSE,FALSE
Equisetopsida,Myrtales,Myrtaceae,Myrcia splendens,FALSE,TRUE
Equisetopsida,Malpighiales,Euphorbiaceae,Alchornea brittonii,FALSE,FALSE
Equisetopsida,Asparagales,Orchidaceae,Aspidogyne rotundifolia,FALSE,FALSE
Reptilia,Sauria,Dactyloidae,Anolis ortonii,FALSE,FALSE
Aves,Passeriformes,Furnariidae,Pseudocolaptes boissonneautii,FALSE,FALSE
Equisetopsida,Myrtales,Melastomataceae,Miconia micropetala,FALSE,FALSE
Equisetopsida,Myrtales,Melastomataceae,Chaetogastra mariae,TRUE,FALSE
Equisetopsida,Fabales,Fabaceae,Inga marginata,FALSE,FALSE
Reptilia,Sauria,Gymnophthalmidae,Cercosaura vertebralis,FALSE,FALSE
Aves,Apodiformes,Trochilidae,Coeligena coeligena,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Mecocerculus minor,FALSE,FALSE
Reptilia,Sauria,Gymnophthalmidae,Potamites strangulatus,FALSE,FALSE
Equisetopsida,Rosales,Urticaceae,Myriocarpa stipitata,FALSE,FALSE
Equisetopsida,Solanales,Solanaceae,Solanum ochranthum,FALSE,FALSE
Equisetopsida,Cyatheales,Cyatheaceae,Cyathea bipinnatifida,FALSE,FALSE
Equisetopsida,Gentianales,Rubiaceae,Hoffmannia williamsii,FALSE,FALSE
Mammalia,Primates,Cebidae,Aotus miconax,TRUE,TRUE
Equisetopsida,Asparagales,Orchidaceae,Maxillaria laricina,FALSE,FALSE
Equisetopsida,Ericales,Ericaceae,Bejaria infundibula,TRUE,FALSE
Reptilia,Serpentes,Dipsadidae,Atractus major,FALSE,FALSE
Equisetopsida,Fabales,Fabaceae,Senna obliqua,FALSE,FALSE
Equisetopsida,Gentianales,Rubiaceae,Hoffmannia verticillata,TRUE,FALSE
Equisetopsida,Fabales,Fabaceae,Senna pistaciifolia var. glabra,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Sporathraupis cyanocephala,FALSE,FALSE
Aves,Strigiformes,Strigidae,Ciccaba albitarsis,FALSE,FALSE
Aves,Piciformes,Picidae,Campephilus haematogaster,FALSE,FALSE
Mammalia,Primates,Atelidae,Lagothrix flavicauda,TRUE,TRUE
Equisetopsida,Gentianales,Rubiaceae,Faramea jasminoides,FALSE,FALSE
Equisetopsida,Asparagales,Orchidaceae,Oliveriana brevilabia,FALSE,FALSE
Equisetopsida,Asparagales,Orchidaceae,Maxillaria quitensis,FALSE,FALSE
Equisetopsida,Fabales,Fabaceae,Senna lasseigniana,FALSE,FALSE
Aves,Psittaciformes,Psittacidae,Amazona mercenarius,FALSE,FALSE
Equisetopsida,Malpighiales,Phyllanthaceae,Hieronyma andina,FALSE,FALSE
Equisetopsida,Malpighiales,Phyllanthaceae,Hieronyma macrocarpa,FALSE,FALSE
Equisetopsida,Cornales,Loasaceae,Nasa triphylla subsp. elegans,FALSE,FALSE
Equisetopsida,Myrtales,Myrtaceae,Myrcia bracteata,FALSE,FALSE
Reptilia,Serpentes,Dipsadidae,Siphlophis compressus,FALSE,FALSE
Equisetopsida,Asparagales,Orchidaceae,Dryadella simula,FALSE,FALSE
Aves,Passeriformes,Rhinocryptidae,Scytalopus parvirostris,FALSE,FALSE
Equisetopsida,Cucurbitales,Begoniaceae,Begonia hitchcockii,FALSE,FALSE
Equisetopsida,Cucurbitales,Begoniaceae,Begonia glabra,FALSE,FALSE
Equisetopsida,Asparagales,Orchidaceae,Masdevallia icterina,TRUE,TRUE
Equisetopsida,Asparagales,Orchidaceae,Epidendrum yambrasbambense,FALSE,FALSE
Equisetopsida,Asparagales,Orchidaceae,Epidendrum tridactylum,FALSE,FALSE
Equisetopsida,Gentianales,Rubiaceae,Cinchona villosa,FALSE,FALSE
Equisetopsida,Gentianales,Rubiaceae,Palicourea amethystina,FALSE,FALSE
Equisetopsida,Myrtales,Melastomataceae,Brachyotum quinquenerve var. Pusillum,FALSE,FALSE
Equisetopsida,Gentianales,Rubiaceae,Coccocypselum lanceolatum,FALSE,FALSE
Equisetopsida,Malpighiales,Salicaceae,Casearia decandra,FALSE,FALSE
Equisetopsida,Asparagales,Orchidaceae,Epidendrum sophronitis,FALSE,FALSE
Equisetopsida,Myrtales,Melastomataceae,Graffenrieda emarginata,FALSE,FALSE
Aves,Trogoniformes,Trogonidae,Pharomachrus auriceps,FALSE,FALSE
Equisetopsida,Gentianales,Rubiaceae,Hillia macrophylla,FALSE,FALSE
Equisetopsida,Escalloniales,Escalloniaceae,Escallonia pendula,FALSE,TRUE
Equisetopsida,Gentianales,Rubiaceae,Faramea miconioides,FALSE,FALSE
Equisetopsida,Rosales,Moraceae,Ficus trapezicola,FALSE,FALSE
Aves,Passeriformes,Turdidae,Myadestes ralloides,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Myiarchus tuberculifer,FALSE,FALSE
Equisetopsida,Myrtales,Melastomataceae,Miconia radula,FALSE,FALSE
Equisetopsida,Asparagales,Orchidaceae,Masdevallia cranion,TRUE,TRUE
Aves,Passeriformes,Grallariidae,Grallaria przewalskii,TRUE,FALSE
Equisetopsida,Rosales,Moraceae,Ficus sodiroi,FALSE,FALSE
Equisetopsida,Gentianales,Rubiaceae,Hoffmannia obovata,FALSE,FALSE
Equisetopsida,Asparagales,Orchidaceae,Epidendrum poeppigii,FALSE,FALSE
Equisetopsida,Asparagales,Orchidaceae,Sobralia dorbignyana,FALSE,FALSE
Equisetopsida,Asparagales,Orchidaceae,Epidendrum pleurobotrys,FALSE,FALSE
Mammalia,Cingulata,Dasypodidae,Dasypus novemcinctus,FALSE,FALSE
Equisetopsida,Asparagales,Orchidaceae,Epidendrum parviflorum,FALSE,FALSE
Equisetopsida,Asparagales,Orchidaceae,Acianthera decurrens,FALSE,FALSE
Equisetopsida,Asparagales,Orchidaceae,Epidendrum panicoides,TRUE,FALSE
Equisetopsida,Laurales,Lauraceae,Nectandra olida,FALSE,FALSE
Equisetopsida,Asparagales,Orchidaceae,Epidendrum mantinianum,FALSE,FALSE
Aves,Piciformes,Picidae,Colaptes rivolii,FALSE,FALSE
Equisetopsida,Asparagales,Orchidaceae,Epidendrum leucochilum,FALSE,FALSE
Equisetopsida,Laurales,Lauraceae,Nectandra discolor,FALSE,FALSE
Equisetopsida,Gentianales,Rubiaceae,Palicourea parvijelskii,FALSE,FALSE
Equisetopsida,Arecales,Arecaceae,Ceroxylon peruvianum,FALSE,FALSE
Aves,Apodiformes,Trochilidae,Coeligena torquata,FALSE,FALSE
Equisetopsida,Asparagales,Orchidaceae,Masdevallia infracta,FALSE,FALSE
Equisetopsida,Myrtales,Melastomataceae,Axinaea nitida,TRUE,FALSE
Equisetopsida,Rosales,Moraceae,Ficus cuatrecasasiana,FALSE,FALSE
Equisetopsida,Asparagales,Orchidaceae,Otoglossum brevifolium,FALSE,FALSE
Equisetopsida,Myrtales,Melastomataceae,Monochaetum lineatum,FALSE,FALSE
Aves,Passeriformes,Furnariidae,Margarornis squamiger,FALSE,FALSE
Equisetopsida,Malpighiales,Salicaceae,Neosprucea montana,FALSE,FALSE
Equisetopsida,Malpighiales,Malpighiaceae,Bunchosia armeniaca,FALSE,FALSE
Aves,Passeriformes,Thamnophilidae,Drymophila striaticeps,FALSE,FALSE
