Clase,Orden,Familia,Especie
Aves,Passeriformes,Furnariidae,"Thripophaga berlepschi"
Equisetopsida,Oxalidales,Cunoniaceae,"Weinmannia piurensis"
Aves,Passeriformes,Tyrannidae,"Zimmerius viridiflavus"
Equisetopsida,Asparagales,Orchidaceae,"Pleurothallis scurrula"
Equisetopsida,Cyatheales,Cyatheaceae,"Cyathea ruiziana"
Equisetopsida,Myrtales,Melastomataceae,"Chaetogastra mariae"
Mammalia,Primates,Cebidae,"Aotus miconax"
Equisetopsida,Ericales,Ericaceae,"Bejaria infundibula"
Equisetopsida,Gentianales,Rubiaceae,"Hoffmannia verticillata"
Mammalia,Primates,Atelidae,"Lagothrix flavicauda"
Equisetopsida,Asparagales,Orchidaceae,"Masdevallia icterina"
Equisetopsida,Asparagales,Orchidaceae,"Masdevallia cranion"
Aves,Passeriformes,Grallariidae,"Grallaria przewalskii"
Equisetopsida,Asparagales,Orchidaceae,"Epidendrum panicoides"
Equisetopsida,Myrtales,Melastomataceae,"Axinaea nitida"
Equisetopsida,Rosales,Urticaceae,"Pourouma montana"
Equisetopsida,Solanales,Solanaceae,"Solanum habrocaulon"
Equisetopsida,Solanales,Solanaceae,"Deprea nieva"
Equisetopsida,Solanales,Solanaceae,"Solanum angustialatum"
Aves,Passeriformes,Tyrannidae,"Poecilotriccus luluae"
Equisetopsida,Gentianales,Rubiaceae,"Cinchona fruticosa"
Equisetopsida,Gentianales,Rubiaceae,"Cinchona glandulifera"
Equisetopsida,Laurales,Lauraceae,"Aiouea subsessilis"
Equisetopsida,Asterales,Asteraceae,"Mikania bulbisetifera"
Equisetopsida,Gentianales,Rubiaceae,"Cinchona micrantha"
Aves,Passeriformes,Rhinocryptidae,"Scytalopus femoralis"
Equisetopsida,Asparagales,Orchidaceae,"Malaxis termensis var. elata"
,,,
