Clase,Orden,Familia,Especie
Equisetopsida,Asparagales,Orchidaceae,"Chloraea pavonii"
Aves,Passeriformes,Furnariidae,"Cinclodes taczanowskii"
Reptilia,Sauria,Liolaemidae,"Ctenoblepharys adspersa"
Equisetopsida,Caryophyllales,Cactaceae,"Eriosyce islayensis"
Aves,Passeriformes,Furnariidae,"Geositta peruviana"
Equisetopsida,Solanales,Solanaceae,"Nicotiana paniculata"
Reptilia,Sauria,Phyllodactylidae,"Phyllodactylus angustidigitus"
Equisetopsida,Apiales,Apiaceae,"Domeykoa saniculifolia"
Equisetopsida,Solanales,Solanaceae,"Nolana insularis"
Equisetopsida,Solanales,Solanaceae,"Nolana plicata"
Equisetopsida,Solanales,Solanaceae,"Nolana willeana"
Aves,Passeriformes,Thraupidae,"Sicalis raimondii"
Equisetopsida,Caryophyllales,Caryophyllaceae,"Spergularia congestifolia"
Reptilia,Sauria,Tropiduridae,"Microlophus theresiae"
Reptilia,Sauria,Tropiduridae,"Microlophus thoracicus"
Equisetopsida,Caryophyllales,Cactaceae,"Haageocereus decumbens"
Equisetopsida,Malvales,Malvaceae,"Palaua trisepala"
Equisetopsida,Asterales,Asteraceae,"Ambrosia dentata"
Equisetopsida,Santalales,Schoepfiaceae,"Quinchamalium chilense"
Equisetopsida,Lamiales,Plantaginaceae,"Plantago limensis"
Equisetopsida,Solanales,Solanaceae,"Solanum murphyi"
,,,
