Clase,Orden,Familia,Especie
Aves,Passeriformes,Thraupidae,"Tangara schrankii"
Equisetopsida,Rosales,Cannabaceae,"Trema domingense"
Equisetopsida,Oxalidales,Cunoniaceae,"Weinmannia spruceana"
Equisetopsida,Santalales,Loranthaceae,"Struthanthus orbicularis"
Equisetopsida,Rosales,Moraceae,"Trophis racemosa"
Aves,Passeriformes,Hirundinidae,"Tachycineta albiventer"
Aves,Passeriformes,Thraupidae,"Tachyphonus rufus"
Aves,Charadriiformes,Charadriidae,"Vanellus cayanus"
Aves,Trogoniformes,Trogonidae,"Trogon curucui"
Equisetopsida,Malpighiales,Malpighiaceae,"Tetrapterys goudotiana"
Aves,Passeriformes,Thraupidae,"Tersina viridis"
Aves,Passeriformes,Thraupidae,"Thraupis episcopus"
Aves,Passeriformes,Thraupidae,"Stilpnia nigrocincta"
Equisetopsida,Fabales,Fabaceae,"Zygia longifolia"
Equisetopsida,Gentianales,Rubiaceae,"Uncaria tomentosa"
Equisetopsida,Lamiales,Achariaceae,"Tessmanniacanthus chlamydocardioides"
Aves,Passeriformes,Thraupidae,"Tangara chilensis"
Aves,Passeriformes,Thraupidae,"Ramphocelus nigrogularis"
Aves,Piciformes,Ramphastidae,"Selenidera reinwardtii"
Aves,Accipitriformes,Accipitridae,"Elanoides forficatus"
Actinopterygii,Siluriformes,Loricariidae,"Hypostomus oculeus"
Equisetopsida,Polypodiales,Polypodiaceae,"Campyloneurum phyllitidis"
Aves,Falconiformes,Falconidae,"Milvago chimachima"
Aves,Passeriformes,Thraupidae,"Cyanerpes caeruleus"
Equisetopsida,Fabales,Fabaceae,"Calliandra angustifolia"
Equisetopsida,Piperales,Piperaceae,"Peperomia macrostachya"
Actinopterygii,Gymnotiformes,Apteronotidae,"Apteronotus albifrons"
Equisetopsida,Solanales,Solanaceae,"Solanum lepidotum"
Equisetopsida,Solanales,Solanaceae,"Iochroma arborescens"
Equisetopsida,Asparagales,Orchidaceae,"Epidendrum macrocarpum"
Equisetopsida,Lamiales,Gesneriaceae,"Diastema scabrum"
Equisetopsida,Malpighiales,Euphorbiaceae,"Mabea occidentalis"
Aves,Passeriformes,Thamnophilidae,"Dysithamnus leucostictus"
Aves,Passeriformes,Thraupidae,"Chlorophanes spiza"
Equisetopsida,Gentianales,Apocynaceae,"Mandevilla subsagittata"
Actinopterygii,Cichliformes,Cichlidae,"Bujurquina syspilus"
Aves,Cuculiformes,Cuculidae,"Crotophaga ani"
Equisetopsida,Sphagnales,Sphagnaceae,"Sphagnum sancto-josephense"
Aves,Accipitriformes,Accipitridae,"Rostrhamus sociabilis"
Equisetopsida,Fabales,Fabaceae,"Macropsychanthus huberi"
Aves,Passeriformes,Pipridae,"Ceratopipra erythrocephala"
Aves,Passeriformes,Icteridae,"Cacicus oseryi"
Aves,Piciformes,Picidae,"Dryocopus lineatus"
Equisetopsida,Zingiberales,Heliconiaceae,"Heliconia rostrata"
Aves,Apodiformes,Trochilidae,"Chionomesa fimbriata"
