Clase,Orden,Familia,Especie
Aves,Tinamiformes,Tinamidae,"Tinamus osgoodi"
Mammalia,Carnivora,Ursidae,"Tremarctos ornatus"
Mammalia,Chiroptera,Phyllostomidae,"Vampyressa melissa"
Aves,Accipitriformes,Accipitridae,"Spizaetus isidori"
Mammalia,Carnivora,Canidae,"Atelocynus microtis"
Amphibia,Anura,Bufonidae,"Atelopus erythropus"
Equisetopsida,Podocarpales,Podocarpaceae,"Podocarpus oleifolius"
Aves,Passeriformes,Furnariidae,"Anabacerthia striaticollis"
Mammalia,Chiroptera,Vespertilionidae,"Eptesicus (Histiotus) velatus"
Mammalia,Primates,Atelidae,"Lagothrix lagothricha"
Mammalia,Pilosa,Myrmecophagidae,"Myrmecophaga tridactyla"
Amphibia,Anura,Craugastoridae,"Psychrophrynella bagrecito"
Mammalia,Rodentia,Dinomyidae,"Dinomys branickii"
Equisetopsida,Asparagales,Orchidaceae,"Odontoglossum wyattianum"
Aves,Psittaciformes,Psittacidae,"Ara militaris"
Equisetopsida,Arecales,Arecaceae,"Ceroxylon parvifrons"
Aves,Psittaciformes,Psittacidae,"Primolius couloni"
Mammalia,Cetartiodactyla,Cervidae,"Mazama chunyi"
Amphibia,Anura,Bufonidae,"Rhinella veraguensis"
Equisetopsida,Fagales,Betulaceae,"Alnus acuminata"
Equisetopsida,Rosales,Cannabaceae,"Celtis iguanaea"
Equisetopsida,Myrtales,Myrtaceae,"Myrcia fallax"
Equisetopsida,Sapindales,Meliaceae,"Cedrela montana"
Equisetopsida,Asparagales,Orchidaceae,"Comparettia coccinea"
Equisetopsida,Sapindales,Meliaceae,"Cedrela fissilis"
Mammalia,Didelphimorphia,Didelphidae,"Monodelphis (Mygalodelphys) osgoodi"
Aves,Passeriformes,Cotingidae,"Lipaugus uropygialis"
Mammalia,Rodentia,Cricetidae,"Akodon surdus"
Aves,Galliformes,Cracidae,"Aburria aburri"
Mammalia,Primates,Atelidae,"Alouatta seniculus"
Mammalia,Carnivora,Procyonidae,"Nasuella olivacea"
Equisetopsida,Asparagales,Orchidaceae,"Sobralia virginalis"
Mammalia,Cingulata,Chlamyphoridae,"Priodontes maximus"
Mammalia,Primates,Atelidae,"Ateles chamek"
,,,
