Clase,Orden,Familia,Especie,endemica,amenazada
Equisetopsida,Malvales,Malvaceae,Tarasa urbaniana,FALSE,FALSE
Mammalia,Cetartiodactyla,Camelidae,Vicugna vicugna,FALSE,FALSE
Equisetopsida,Poales,Poaceae,Stipa hans-meyeri,FALSE,FALSE
Aves,Tinamiformes,Tinamidae,Tinamotis pentlandii,FALSE,FALSE
Equisetopsida,Rosales,Rosaceae,Tetraglochin alata,FALSE,FALSE
Aves,Passeriformes,Turdidae,Turdus chiguanco,FALSE,FALSE
Aves,Passeriformes,Troglodytidae,Troglodytes aedon,FALSE,FALSE
Aves,Charadriiformes,Thinocoridae,Thinocorus rumicivorus,FALSE,FALSE
Aves,Passeriformes,Furnariidae,Upucerthia albigula,FALSE,FALSE
Aves,Passeriformes,Furnariidae,Upucerthia validirostris,FALSE,FALSE
Equisetopsida,Rosales,Urticaceae,Urtica flabellata,FALSE,FALSE
Equisetopsida,Asterales,Asteraceae,Werneria pygmaea,FALSE,FALSE
Aves,Charadriiformes,Charadriidae,Vanellus resplendens,FALSE,FALSE
Aves,Charadriiformes,Scolopacidae,Tringa flavipes,FALSE,FALSE
Aves,Cathartiformes,Cathartidae,Vultur gryphus,FALSE,TRUE
Aves,Charadriiformes,Scolopacidae,Tringa melanoleuca,FALSE,FALSE
Aves,Passeriformes,Passerellidae,Zonotrichia capensis,FALSE,FALSE
Equisetopsida,Poales,Poaceae,Trisetum spicatum,FALSE,FALSE
Aves,Caprimulgiformes,Caprimulgidae,Systellura longirostris,FALSE,FALSE
Equisetopsida,Poales,Poaceae,Vulpia myuros var. hirsuta,FALSE,FALSE
Aves,Charadriiformes,Thinocoridae,Thinocorus orbignyianus,FALSE,FALSE
Aves,Passeriformes,Cotingidae,Zaratornis stresemanni,TRUE,TRUE
Equisetopsida,Brassicales,Brassicaceae,Weberbauera peruviana,FALSE,FALSE
Equisetopsida,Asterales,Asteraceae,Werneria apiculata,FALSE,FALSE
Equisetopsida,Dipsacales,Caprifoliaceae,Valeriana asplenifolia,FALSE,FALSE
Equisetopsida,Poales,Cyperaceae,Trichophorum rigidum,FALSE,FALSE
Equisetopsida,Fabales,Fabaceae,Trifolium amabile,FALSE,FALSE
Aves,Falconiformes,Falconidae,Falco femoralis,FALSE,FALSE
Equisetopsida,Poales,Poaceae,Nassella inconspicua,FALSE,FALSE
Equisetopsida,Geraniales,Geraniaceae,Erodium cicutarium,FALSE,FALSE
Equisetopsida,Poales,Poaceae,Nassella brachyphylla,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Sicalis uropygialis,FALSE,FALSE
Equisetopsida,Fabales,Fabaceae,Lupinus ananeanus,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Agriornis albicauda,FALSE,TRUE
Equisetopsida,Caryophyllales,Caryophyllaceae,Arenaria tetragyna,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Conirostrum cinereum,FALSE,FALSE
Mammalia,Carnivora,Mephitidae,Conepatus chinga,FALSE,FALSE
Aves,Pelecaniformes,Ardeidae,Ardea alba,FALSE,FALSE
Equisetopsida,Lamiales,Scrophulariaceae,Buddleja incana,FALSE,TRUE
Equisetopsida,Poales,Poaceae,Deschampsia ovata,FALSE,FALSE
Insecta,Diptera,Calliphoridae,Compsomyiops melloi,FALSE,FALSE
Aves,Falconiformes,Falconidae,Falco peregrinus,FALSE,FALSE
Insecta,Diptera,Calliphoridae,Compsomyiops arequipensis,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Anairetes flavirostris,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Anairetes parulus,FALSE,FALSE
Aves,Apodiformes,Trochilidae,Metallura phoebe,TRUE,FALSE
Mammalia,Carnivora,Canidae,Lycalopex (Pseudalopex) culpaeus,FALSE,FALSE
Aves,Apodiformes,Trochilidae,Patagona gigas,FALSE,FALSE
Equisetopsida,Poales,Poaceae,Dielsiochloa floribunda,FALSE,FALSE
Aves,Anseriformes,Anatidae,Anas flavirostris,FALSE,FALSE
Equisetopsida,Poales,Juncaceae,Luzula racemosa,FALSE,FALSE
Equisetopsida,Lamiales,Orobanchaceae,Castilleja fissifolia,FALSE,FALSE
Equisetopsida,Fabales,Fabaceae,Lupinus microphyllus,FALSE,FALSE
Aves,Falconiformes,Falconidae,Falco sparverius,FALSE,FALSE
Equisetopsida,Poales,Juncaceae,Luzula peruviana,FALSE,FALSE
Equisetopsida,Myrtales,Onagraceae,Epilobium denticulatum,FALSE,FALSE
Aves,Charadriiformes,Laridae,Chroicocephalus serranus,FALSE,FALSE
Equisetopsida,Ranunculales,Ranunculaceae,Ranunculus trichophyllus,FALSE,FALSE
Aves,Columbiformes,Columbidae,Metriopelia aymara,FALSE,FALSE
Mammalia,Carnivora,Felidae,Leopardus jacobitus,FALSE,TRUE
Equisetopsida,Asterales,Asteraceae,Perezia coerulescens,FALSE,TRUE
Mammalia,Cetartiodactyla,Cervidae,Hippocamelus antisensis,FALSE,TRUE
Equisetopsida,Poales,Poaceae,Anatherostipa obtusa,FALSE,FALSE
Equisetopsida,Poales,Poaceae,Anatherostipa rigidiseta,FALSE,FALSE
Aves,Psittaciformes,Psittacidae,Bolborhynchus orbygnesius,FALSE,FALSE
Equisetopsida,Fabales,Fabaceae,Lupinus pinguis,TRUE,FALSE
Aves,Passeriformes,Thraupidae,Catamenia analis,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Phrygilus punensis,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Rhopospina alaudina,FALSE,FALSE
Equisetopsida,Asterales,Asteraceae,Erigeron ecuadoriensis,FALSE,FALSE
Equisetopsida,Asterales,Asteraceae,Erigeron bonariensis,FALSE,FALSE
Equisetopsida,Asterales,Asteraceae,Hypochaeris echegarayi,FALSE,FALSE
Insecta,Diptera,Calliphoridae,Sarconesia splendida,FALSE,FALSE
Insecta,Diptera,Calliphoridae,Sarconesia versicolor,FALSE,FALSE
Insecta,Diptera,Calliphoridae,Sarconesiopsis magellanica,FALSE,FALSE
Equisetopsida,Asparagales,Iridaceae,Sisyrinchium jamesonii,FALSE,FALSE
Equisetopsida,Asterales,Asteraceae,Hypochaeris taraxacoides,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Ochthoeca oenanthoides,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Lessonia oreas,FALSE,FALSE
Aves,Passeriformes,Tyrannidae,Ochthoeca leucophrys,FALSE,FALSE
Equisetopsida,Poales,Poaceae,Poa annua,FALSE,FALSE
Aves,Accipitriformes,Accipitridae,Buteo brachyurus,FALSE,FALSE
Aves,Cathartiformes,Cathartidae,Cathartes aura,FALSE,FALSE
Insecta,Diptera,Calliphoridae,Calliphora nigribasis,FALSE,FALSE
Equisetopsida,Malvales,Malvaceae,Acaulimalva purdiei,FALSE,FALSE
Equisetopsida,Saxifragales,Saxifragaceae,Saxifraga magellanica,FALSE,FALSE
Equisetopsida,Asterales,Asteraceae,Bidens andicola,FALSE,FALSE
Equisetopsida,Caryophyllales,Cactaceae,Cumulopuntia galerasensis,TRUE,FALSE
Equisetopsida,Ranunculales,Berberidaceae,Berberis lutea,FALSE,FALSE
Equisetopsida,Saxifragales,Grossulariaceae,Ribes cuneifolium,FALSE,FALSE
Aves,Accipitriformes,Accipitridae,Geranoaetus polyosoma,FALSE,FALSE
Equisetopsida,Asterales,Asteraceae,Belloa piptolepis,FALSE,FALSE
Aves,Accipitriformes,Accipitridae,Geranoaetus melanoleucus,FALSE,FALSE
Equisetopsida,Geraniales,Geraniaceae,Geranium sessiliflorum,FALSE,FALSE
Aves,Charadriiformes,Scolopacidae,Calidris melanotos,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Geospizopsis unicolor,FALSE,FALSE
Aves,Phoenicopteriformes,Phoenicopteridae,Phoenicopterus chilensis,FALSE,FALSE
Aves,Passeriformes,Thraupidae,Geospizopsis plebejus,FALSE,FALSE
Equisetopsida,Poales,Poaceae,Poa aequigluma,FALSE,FALSE
Aves,Passeriformes,Hirundinidae,Orochelidon murina,FALSE,FALSE
Aves,Passeriformes,Furnariidae,Geositta tenuirostris,FALSE,FALSE
Aves,Passeriformes,Furnariidae,Geositta cunicularia,FALSE,FALSE
Aves,Passeriformes,Furnariidae,Geositta crassirostris,TRUE,FALSE
Equisetopsida,Poales,Poaceae,Deyeuxia tarmensis,FALSE,FALSE
Equisetopsida,Poales,Cyperaceae,Carex hypsipedos,FALSE,FALSE
Aves,Charadriiformes,Scolopacidae,Calidris bairdii,FALSE,FALSE
Aves,Passeriformes,Hirundinidae,Orochelidon andecola,FALSE,FALSE
Equisetopsida,Solanales,Solanaceae,Salpichroa glandulosa,FALSE,FALSE
Equisetopsida,Malvales,Malvaceae,Nototriche sulcata,FALSE,FALSE
Equisetopsida,Malvales,Malvaceae,Nototriche pinnata,FALSE,FALSE
Equisetopsida,Poales,Poaceae,Stenotaphrum secundatum,FALSE,FALSE
Equisetopsida,Asterales,Asteraceae,Proustia berberidifolia,FALSE,FALSE
Equisetopsida,Lamiales,Calceolariaceae,Calceolaria lobata,FALSE,FALSE
Aves,Accipitriformes,Accipitridae,Circus cinereus,FALSE,FALSE
Equisetopsida,Poales,Poaceae,Poa calycina,FALSE,FALSE
Equisetopsida,Gentianales,Gentianaceae,Gentianella potamophila,TRUE,FALSE
Equisetopsida,Asterales,Asteraceae,Loricaria graveolens,FALSE,FALSE
Equisetopsida,Asterales,Asteraceae,Baccharis tricuneata,FALSE,FALSE
Aves,Piciformes,Picidae,Colaptes atricollis,TRUE,FALSE
Equisetopsida,Cornales,Loasaceae,Caiophora cirsiifolia,TRUE,FALSE
Equisetopsida,Asterales,Asteraceae,Perezia multiflora,FALSE,FALSE
Aves,Charadriiformes,Charadriidae,Oreopholus ruficollis,FALSE,FALSE
Insecta,Coleoptera,Silphidae,Oxelytrum anticola,FALSE,FALSE
Equisetopsida,Gentianales,Gentianaceae,Gentianella brunneotincta,TRUE,FALSE
Aves,Passeriformes,Tyrannidae,Cnemarchus rufipennis,FALSE,FALSE
Equisetopsida,Poales,Poaceae,Cinnagrostis vicunarum,FALSE,FALSE
Equisetopsida,Poales,Poaceae,Cinnagrostis minima,FALSE,FALSE
Equisetopsida,Poales,Poaceae,Calamagrostis amoena,FALSE,FALSE
Aves,Apodiformes,Trochilidae,Oreotrochilus estella,FALSE,FALSE
Equisetopsida,Caryophyllales,Montiaceae,Calandrinia ciliata,FALSE,FALSE
Equisetopsida,Poales,Poaceae,Cinnagrostis jamesonii,FALSE,FALSE
Equisetopsida,Poales,Poaceae,Calamagrostis heterophylla,FALSE,FALSE
Equisetopsida,Gentianales,Gentianaceae,Gentiana prolata,FALSE,FALSE
Aves,Tinamiformes,Tinamidae,Nothoprocta pentlandii,FALSE,FALSE
